REFID	TITLE	SUBTITLE	AUTHORS	COVER	YEAR1STPUB
9079	The Barefoot Channel	Community Television as a Tool for Social Change	Goldberg, Kim	BC9079-BarefootChannel.jpg	1990
9084	Public Consultation: A Citizens Handbook		Maynes, Clifford	BC9084-PublicConsultation.jpg	1989
9086	Third Annual Directory to Canadian Pagan Resources		Maphis	BC9086s-AnnualDirectory.jpg	1990
9090	Turtle Talk	Voices for a Sustainable Future	Plant, Christopher,  Plant, Judith	BC9090-TurtleTalk.jpg	1990
9091	Type from the Desktop	Designing with Type and Your Computer	Burke, Clifford	BC9091-TypeDesktop.jpg	1990
9203	A Manual on Nonviolence and Children		Judson, Stephanie; Paul, Paula J.	BCBC9203-AManualChild.jpg	1977
9228	Expose Yourself	Using the Power of Public Relations to Promote Your Business and Yourself	Beals, Melba	BC9228-Expose-Yourself.jpg	1990
9234	Community Workshops for the Environment	An Organizer's Manual		BC9234-CommunityWorkEnv.jpg	1989
9240	Getting the Goods	Information in BC How to Find It, How to Use It	Oustonm, Rick	BC9240-GettingtheGoods.jpg	1990
9241	A Guide to Establishing a Human Rights Documentation Centre	Report of a UNESCO-UNU International Training Seminar on the Handling of Documentation & Information on Human Rights	Wiseberg, Laurie S.	BC9241-Documentation.jpg	1988
9242	Heritage Languages	The development and denial of Canada's linguistic resources	Cummins, Jim ;  Danesi, Marcel	BC9242s-HeritageLanguages.jpg	1990
9248	The Philosophy of Social Ecology	Essays on Dialectical Naturalism	Bookchin, Murray	BC9248s-PhilosophySocialEcology.jpg	1990
9249	Recolonization or Liberation	The Bonds of Structural Adjustment and Struggles for Emancipation		BC9249s-Recolonization.jpg	1990
9251	The Silent Revolution	Media, Democracy, and the Free Trade Debate	Winter, James P.	BC9251-SilentRevolution.jpg	1990
9256	What Our High Schools Could Be...	A Teacher's Reflection from the 60's to the 90's	Davis, Bob	BC9256s-WhatHighSchools.jpg	1990
