ID	ImageNum	Title	Filename	OriginalFilename	Author	Year1stPub	BildSource	Caption	ELibrary	CXDatabase	SourcesDB	Ullibrary	Nix	Marked	Publishist	Format	SoFRefID	SoFDate
168	BL0168	Dolphin	BL0168-Dolphin					Dolphin								PHO		
169	BL0169	Tiny frog hanging from bud of plant	BL0169-TinFrog-060111					Tiny frog hanging from bud of plant								PHO		
170	BL0170	Lizard	BL0170-Lizard					Lizard								PHO		
171	BL0171	Romeo Dallaire	BL0171-RomeoDallaire					Romeo Dallaire								PHO		
172	BL0172	Furry toy bat flying	BL0172-T3sm					Furry toy bat flying								PHO		
173	BL0173	Manta ray	BL0173-Manta					Manta ray								PHO		
174	BL0174	Three pigs graphic	BL0174-Pig_2					Three pigs graphic								PHO		
175	BL0175	Black swan swimming with giant fake swan	BL0175-Swans					Black swan swimming with giant fake swan								PHO		
176	BL0176	Tiger running along shore	BL0176-Tiger					Tiger running along shore								PHO		
177	BL0177	Circus performer riding tiger and lioness	BL0177-Tigers1					Circus performer riding tiger and lioness								PHO		
178	BL0178	Cat named Ulli hanging from doorknob	BL0178-UllitheCat					Cat named Ulli hanging from doorknob								PHO		
179	BL0179	Cat giving another cat a massage	BL0179-What_we_all_need					Cat giving another cat a massage								PHO		
180	BL0180	Peregrine feeding young	BL0180-SheratonJune4th2005					Peregrine feeding young								PHO		
181	BL0181	Peregrine with pigeon	BL0181-SheratonJuly5th2005c					Peregrine with pigeon								PHO		
182	BL0182	New Orleans flooded during Hurricane Katrina	BL0182-Katrina01			2005		New Orleans flooded during Hurricane Katrina								PHO		
183	BL0183	New Orleans flooded during Hurricane Katrina	BL0183-Katrina02			2005		New Orleans flooded during Hurricane Katrina								PHO		
184	BL0184	People in flooded streets of New Orleans	BL0184-Katrina1d			2005		People in flooded streets of New Orleans								PHO		
185	BL0185	Life with Larry Television guide cover	BL0185-LifewithLarry			2005		Life with Larry Television guide cover								PHO		
186	BL0186	Painting of homeless man	BL0186-Lucinda-homeless_man		Knowlton, Lucinda	2006		Painting of homeless man								PHO		
187	BL0187	Painting of lioness	BL0187-Lucinda-Lioness-2		Knowlton, Lucinda	2006		Painting of lioness								PHO		
188	BL0188	Sherlock Holmes relief	BL0188-Holmes					Sherlock Holmes relief								PHO		
189	BL0189	Sherlock Holmes profile	BL0189-Homes1					Sherlock Holmes profile								PHO		
190	BL0190	Movie poster for I Married a Communist	BL0190-IMarriedaCommunist					Movie poster for I Married a Communist		True						PHO		
191	BL0191	Fight the Red Menace ad	BL0191-Red_Menace02					Fight the Red Menace ad		True						PHO		
